9.96065 5.03935 1.14895      10 5 1      -0.786918 0.786918 2.9791
10.9438 5.038 1.14443      11 5 1      -1.12475 0.75991 2.88854
11.9256 5.03619 1.13797      12 5 1      -1.48827 0.723793 2.75936
12.9055 5.03395 1.12916      13 5 1      -1.88983 0.678965 2.58323
13.8825 5.03133 1.11746      14 5 1      -2.34927 0.626519 2.34926
14.8546 5.02842 1.10254      15 5 1      -2.90736 0.568468 2.05089
0.147719 6.01691 1.10448      0 6 1      2.95438 0.338215 2.08955
1.11965 6.01859 1.11965      1 6 1      2.39301 0.371747 2.393
2.09642 6.02011 1.13158      2 6 1      1.92839 0.402214 2.63155
3.07602 6.02142 1.14058      3 6 1      1.52042 0.42846 2.81156
4.05749 6.02249 1.14719      4 6 1      1.14987 0.449777 2.94382
5.04024 6.02329 1.15183      5 6 1      0.804808 0.465827 3.03665
6.02383 6.02383 1.15479      6 6 1      0.47651 0.47651 3.0957
7.00789 6.02409 1.15622      7 6 1      0.157796 0.481838 3.12441
7.99211 6.02409 1.15622      8 6 1      -0.157796 0.481838 3.12441
8.97617 6.02383 1.15479      9 6 1      -0.476511 0.47651 3.0957
9.95976 6.02329 1.15183      10 6 1      -0.804808 0.465827 3.03665
10.9425 6.02249 1.14719      11 6 1      -1.14987 0.449777 2.94382
11.924 6.02142 1.14058      12 6 1      -1.52042 0.42846 2.81156
12.9036 6.02011 1.13158      13 6 1      -1.92839 0.402214 2.63155
13.8803 6.01859 1.11965      14 6 1      -2.39301 0.371747 2.393
14.8523 6.01691 1.10448      15 6 1      -2.95438 0.338214 2.08955
0.148861 7.00561 1.10542      0 7 1      2.97722 0.112277 2.10843
1.12072 7.00616 1.12072      1 7 1      2.41431 0.123249 2.4143
2.09736 7.00666 1.13275      2 7 1      1.94726 0.133243 2.65504
3.07681 7.00709 1.14185      3 7 1      1.53624 0.141883 2.83692
4.05812 7.00745 1.14853      4 7 1      1.1623 0.148926 2.97068
5.04069 7.00771 1.15323      5 7 1      0.813703 0.154246 3.06463
6.02409 7.00789 1.15622      6 7 1      0.481838 0.157796 3.12441
7.00798 7.00798 1.15767      7 7 1      0.159569 0.159569 3.15348
7.99202 7.00798 1.15767      8 7 1      -0.159569 0.159569 3.15348
8.97591 7.00789 1.15622      9 7 1      -0.481839 0.157796 3.12441
9.95932 7.00771 1.15323      10 7 1      -0.813703 0.154246 3.06463
