403.636 1742.61      403.421 1740.88      0.214248 1.72636
-469.952 2352.83      -468.709 2350.13      -1.24319 2.70235
-265.226 2625.08      -264.156 2622.07      -1.07068 3.01039
779.991 642.158      779.488 642.214      0.504031 -0.0563028
1354.81 1254.68      1353.45 1254.04      1.36079 0.633115
558.042 -21.95      558.284 -21.159      -0.241405 -0.790666
860.242 1267.04      859.658 1266.38      0.583535 0.657808
1231.4 443.55      1231 444.203      0.407145 -0.652362
110.929 721.752      111.603 721.233      -0.674033 0.518656
45.7228 1418.1      46.5558 1416.94      -0.832979 1.1623
988.52 1918.84      988.066 1917.02      0.454275 1.81932
1452.42 1723.28      1451.28 1721.44      1.1339 1.83831
1108.65 742.691      1108.24 743.076      0.414169 -0.384587
1288.84 457.972      1288.2 458.062      0.636207 -0.0895275
65.0195 700.671      65.532 700.693      -0.512513 -0.0226829
542.569 1694.07      542.753 1692.31      -0.183229 1.75218
911.113 1317.68      910.6 1316.63      0.512313 1.05139
879.471 1516.04      878.934 1515.05      0.536367 0.984988
4.49582 853.368      5.03506 853.217      -0.539445 0.151411
957.652 312.435      956.917 312.811      0.734951 -0.375039
393.167 1362.13      393.062 1361.43      0.105078 0.692614
1390.09 521.467      1388.72 521.693      1.36909 -0.225705
-338.282 297.852      -337.483 298.493      -0.799153 -0.640507
-198.176 1478.22      -197.153 1477.21      -1.02295 1.00854
-193.047 537.49      -191.628 537.848      -1.41852 -0.358381
-329.507 358.562      -328.399 359.26      -1.10792 -0.698801
981.005 410.043      980.273 410.421      0.731349 -0.378419
-1234.74 899.865      -1232.27 899.499      -2.47108 0.366045
924.212 825.706      922.849 824.836      1.36047 0.870609
364.245 1563.12      364.173 1561.92      0.071624 1.20658
55.8585 1456.32      56.3472 1455.34      -0.488726 0.982434
325.428 694.102      325.446 694.646      -0.0165194 -0.54353
219.063 313.436      219.758 313.321      -0.694966 0.116202
1109.26 1120.86      1108.37 1120.28      0.896133 0.578159
615.491 653.46      615.621 653.372      -0.129789 0.0884607
1100.69 1362.36      1099.55 1361.59      1.14356 0.769863
1191.04 871.639      1189.93 871.197      1.10078 0.441805
-98.1968 1216.71      -97.3672 1215.95      -0.82937 0.758551
-328.375 950.819      -326.582 950.295      -1.79328 0.523887
965.219 2358.76      964.581 2356.43      0.637887 2.32578
-109.908 1102.67      -108.628 1102.2      -1.27958 0.460794
332.24 1493.04      332.634 1491.88      -0.393914 1.15764
1337.59 1598.41      1336.66 1596.94      0.932196 1.47247
1015.72 734.523      1014.8 734.591      0.926317 -0.0702258
1176.83 511.808      1175.84 511.468      0.995563 0.339605
1250.4 1636.43      1249.28 1634.88      1.12604 1.54622
571.176 1819.45      571.036 1817.24      0.140309 2.20303
529.27 1226.25      529.237 1225.66      0.0323396 0.592266
1336.91 263.459      1336.18 263.998      0.723399 -0.539034
1422.65 1701.8      1421.39 1700.39      1.25613 1.4153
853.661 473.807      853.034 474.448      0.62673 -0.640498
868.78 421.927      868.432 422.11      0.347135 -0.182164
353.178 1328.5      353.246 1327.45      -0.0681057 1.05282
-321.904 1907.78      -320.873 1905.94      -1.03109 1.83842
877.583 763.494      877.592 762.708      -0.00963505 0.785825
-357.827 1208.78      -356.816 1207.96      -1.01098 0.824389
358.604 2184.47      359.012 2182.35      -0.408598 2.12242
-276.881 1616.21      -276.04 1614.87      -0.84082 1.33702
372.17 813.293      372.208 813.083      -0.03707 0.209007
-17.948 1710.54      -17.4083 1708.77      -0.539713 1.7671
-589.788 1407.45      -588.201 1406.45      -1.58651 0.999283
581.188 1363.15      580.848 1362.26      0.34075 0.887456
-780.225 1350.87      -778.496 1349.79      -1.72905 1.08372
-181.92 1010.11      -181.077 1009.98      -0.842077 0.123587
735.925 1592.35      735.121 1590.96      0.803065 1.39362
960.76 1124.98      959.747 1124.61      1.01256 0.369481
729.642 1620.28      729.374 1618.88      0.267106 1.39796
1483.45 1327.26      1481.96 1326.13      1.48978 1.1296
694.708 755.156      694.254 755.662      0.454464 -0.50755
679.024 87.7937      679.005 88.4902      0.0192404 -0.695297
-198.953 34.2822      -198.336 35.0034      -0.617107 -0.721223
621.993 1212.88      622.282 1211.49      -0.288939 1.3939
-8.68732 1599.07      -7.55457 1597.91      -1.13269 1.15684
